Taxa	Yield	Protein	Heading	Height	TW	NDVI	NDRE1	NWI1	NWI2
HR17046-8W	40.57680316	13.03951707	167.4251038	28.95334287	61.98031831	0.448207838	-0.092561663	-0.035085061	0.015786419
HR17046-9	42.57680316	12.83951707	165.4251038	22.95334287	60.38031831	0.46572213	-0.092853139	-0.032775483	0.018804545
HR17047-2	48.57680316	11.83951707	167.4251038	30.95334287	61.58031831	0.449910124	-0.101628691	-0.038550311	0.004968525
HR17047-3	44.57680316	12.23951707	163.4251038	26.95334287	60.98031831	0.46347526	-0.099443723	-0.041016191	0.002909335
HR17047-4	40.57680316	12.23951707	165.4251038	28.95334287	60.58031831	0.42106326	-0.113259711	-0.026783769	0.018708277
HR17047-5W	32.57680316	13.03951707	167.4251038	26.95334287	61.18031831	0.452871278	-0.111565339	-0.032499261	0.003049235
HR17047-6	40.57680316	14.03951707	163.4251038	26.95334287	59.78031831	0.477797018	-0.094261023	-0.037298879	0.010018111
HR17047-7	32.57680316	14.23951707	165.4251038	20.95334287	61.18031831	0.422047062	-0.114685805	-0.023972831	0.016886949
HR17047-8	34.57680316	13.43951707	161.4251038	24.95334287	60.98031831	0.410623846	-0.122032311	-0.022452981	0.012592293
HR17047-9W	34.57680316	13.43951707	165.4251038	26.95334287	60.38031831	0.433913024	-0.103473375	-0.032156749	0.011893639
HR17048-1	26.57680316	12.23951707	163.4251038	30.95334287	57.98031831	0.37040215	-0.133397813	-0.016399583	0.019034105
HR17048-2	24.57680316	13.03951707	161.4251038	28.95334287	57.38031831	0.44873103	-0.096614987	-0.032302095	0.009498137
HR17048-3	40.57680316	14.23951707	163.4251038	26.95334287	53.38031831	0.505973438	-0.072058635	-0.047309151	0.004840039
HR17048-4	30.57680316	14.23951707	165.4251038	26.95334287	58.78031831	0.473679832	-0.085310785	-0.039581095	0.005923821
HR17048-5	28.57680316	13.23951707	165.4251038	26.95334287	56.38031831	0.46173	-0.095238643	-0.037670449	0.008753259
HR17048-6W	28.57680316	13.83951707	163.4251038	28.95334287	57.98031831	0.471911146	-0.096454193	-0.044796441	-0.004821171
HR17048-7	26.57680316	14.43951707	165.4251038	26.95334287	55.38031831	0.515879776	-0.072353391	-0.053920981	-0.001591819
HR17048-8	32.57680316	14.83951707	165.4251038	26.95334287	61.58031831	0.450685556	-0.093057691	-0.041532247	0.006199715
HR17049-10	26.52070088	10.51624087	167.9862737	23.83203679	63.6723888	0.473602691	-0.106583381	-0.043879578	-0.01071924
HR17049-4	20.57680316	14.83951707	167.4251038	20.95334287	52.98031831	0.467458946	-0.091280099	-0.042406427	0.011150849
HR17049-5	22.57680316	14.03951707	165.4251038	24.95334287	59.18031831	0.52492695	-0.076742921	-0.050400217	-0.003083689
HR17049-6	32.52070088	13.51624087	165.9862737	25.83203679	57.0723888	0.520649415	-0.071120457	-0.055635166	-0.00838765
HR17049-7	34.52070088	12.51624087	163.9862737	27.83203679	58.4723888	0.503311825	-0.084842255	-0.04272401	0.004229052
HR17049-9	28.52070088	13.71624087	165.9862737	27.83203679	57.0723888	0.486017637	-0.087802903	-0.043126822	0.008167446
